NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12
1331;23/06/2020;38000000;2;12;19;46;49;1;8;17025285;0;0;3;21;487;1142;1120;15908;22351;51961;85896;337786;0;0;1;2;90;252;231;3302;4649;10940;17211;68034;0;0;201011,8;1694,4;134,5;60,6;43,4;15,3;12,1;9,7;7,1;5,7
1330;19/06/2020;28000000;5;14;19;24;43;3;11;21937525;0;4;8;35;744;1537;1722;20217;33500;76928;103921;466080;0;0;2;7;147;311;377;3961;6692;16332;19943;93132;0;157456,5;18400;1309,9;113,5;58;36,4;15,5;10,4;8,4;7,5;5,3
1329;16/06/2020;17000000;4;9;11;17;39;2;10;15946881;0;2;4;16;636;1128;1656;15600;26331;68380;76193;353669;0;0;1;4;128;230;378;3256;5517;14398;16006;71327;0;228917,4;26750,8;2083;96,5;57,5;27,5;14,6;9,6;6,9;7,5;5,1
1328;12/06/2020;50000000;2;24;39;45;46;4;8;23486003;1;2;3;38;565;1564;1158;23702;26919;58277;142367;419915;0;0;1;8;83;310;199;4712;5132;10696;28909;81550;51583717;337141,5;52530,3;1291,7;160;61,1;58;14,1;13,9;11,9;5,9;6,3
1327;09/06/2020;37000000;5;15;27;36;46;2;8;17336870;0;3;2;33;550;1427;1095;22240;23196;51249;120489;352621;0;1;0;10;83;262;164;4274;4259;9336;23954;67457;0;165913,8;58165,1;1098;121,3;49,4;45,2;11,1;11,9;10;5,1;5,5
1326;05/06/2020;28000000;5;11;17;24;37;3;6;22056612;0;3;11;67;1100;2434;2165;31131;42614;84690;149368;545858;0;0;0;13;254;599;448;7135;8812;17509;33144;112688;0;211081,7;13454,5;688;77,1;36,8;29,1;10,1;8,2;7,7;5,3;4,5
1325;02/06/2020;17000000;10;12;22;26;49;7;11;15239953;0;5;9;17;547;1020;1288;14935;23592;53698;77349;328824;0;1;2;3;132;209;313;2882;5069;11295;14230;67595;0;87507,8;11362,2;1873,6;107,2;60,8;33,8;14,5;10,3;8,4;7;5,2
1324;29/05/2020;17000000;4;8;11;19;46;4;8;20308473;1;5;13;137;897;3574;1730;33182;37668;74615;134296;492834;0;2;5;47;203;909;421;7580;8918;16672;27287;104859;17000000;116611,2;10482,2;309,8;87,1;23,1;33,5;8,7;8,5;8;5,4;4,6
1323;26/05/2020;37000000;4;9;14;21;27;4;6;16178243;2;5;6;63;999;1993;1869;24082;33423;67756;106041;400538;1;0;2;18;226;480;412;5468;7345;14138;23358;81565;18571740;92895,4;18092,6;536,7;62,3;33;24,7;9,6;7,7;7;5,4;4,5
1322;22/05/2020;27000000;3;18;22;27;32;2;7;20446265;0;0;13;53;842;2454;1496;33462;36228;69537;158062;501467;0;0;1;4;76;159;162;2743;3890;7027;16270;60851;0;0;55708,2;806,2;93,4;33,9;39;8,7;9;8,7;4,6;4,6
